shop_id,txn_count,revenue_total,revenue_mean
0,9857,6637370.0,673.3661357410977
1,5678,3238207.0,570.3076787601268
2,25991,44049638.79999787,1694.8035396867328
3,25532,30140853.869999863,1180.5128415321894
4,38242,40539650.31999911,1060.0818555514647
5,38179,38160429.029999554,999.5135815500552
6,82663,98067453.80000217,1186.3524648270952
7,58076,66957658.550000355,1152.9316507679653
8,3412,2349358.0,688.5574443141852
9,3751,16372837.000000082,4364.925886430307
10,21397,19410283.38,907.1497583773426
11,499,521655.14,1045.4010821643287
12,34694,112205072.85999876,3234.1348031359535
13,17824,6006173.18,336.97111647217235
14,36979,46737281.49999984,1263.887111603879
15,59511,68710368.39999956,1154.5826553074148
16,52734,57436486.630000286,1089.1737139227118
17,22950,27784948.299999174,1210.673128540269
18,53227,83392700.9900039,1566.7368251076314
19,63911,64953921.55000015,1016.3183419129751
20,1792,6599923.999999955,3682.9933035714034
21,58133,62581387.839998715,1076.5208717939674
22,45434,60438890.18000091,1330.2568600607674
23,6963,5621521.200000019,807.3418354157718
24,53032,68811693.4700009,1297.5504123925346
25,186104,216480571.43999997,1163.2236353866654
26,53910,67551089.57000138,1253.0344939714594
27,105366,140632474.11999825,1334.704497845588
28,142234,159746337.37999883,1123.1234260443975
29,49225,56550135.4999998,1148.809253428132
30,50860,46702461.39999936,918.2552379079701
31,235636,235217019.05000272,998.221914520713
32,7947,5772824.000000039,726.4155027054284
33,5027,5949101.570000009,1183.429793117169
34,5752,8582822.010000018,1492.145690194718
35,58445,70204774.87999989,1201.2109655231395
36,306,377714.0,1234.359477124183
37,39638,45974685.0300003,1159.8638939906227
38,46013,65766434.41000088,1429.301162932234
39,13440,18092890.99999985,1346.1972470237984
40,4257,4293586.85,1008.5945149166079
41,41967,46092990.52000123,1098.3151171158586
42,109253,151917032.54999906,1390.5067371147618
43,39282,62217699.4499971,1583.8730067205615
44,39530,34204028.27000016,865.2676010624882
45,35891,40924797.46999864,1140.2523604803055
46,66321,74189318.91999936,1118.6399318466151
47,56695,74882096.24999969,1320.78836317135
48,21612,27714110.019999955,1282.348233388856
49,15849,20140923.50000007,1270.8009022651315
50,65173,77950597.5000018,1196.0566108664907
51,44433,24205161.25,544.7564028987464
52,43502,45054241.65999764,1035.6820757665773
53,52921,56511041.7199995,1067.8377528769204
54,143480,141939672.9999988,989.2645177028074
55,34769,49792061.49999865,1432.0820702349406
56,69573,58605903.52999901,842.3656235895967
57,117428,112999783.52999797,962.2899438804883
58,71441,68737617.83,962.1592339132991
59,42108,45226578.899999075,1074.0614348817107
