level,setting,identifier,record_count,even_share,vs_even
spark_partition,2,partition_0,2025963,1467924.5,1.38
spark_partition,2,partition_1,909886,1467924.5,0.62
spark_partition,4,partition_0,1273996,733962.2,1.736
spark_partition,4,partition_1,318666,733962.2,0.434
spark_partition,4,partition_2,751967,733962.2,1.025
spark_partition,4,partition_3,591220,733962.2,0.806
spark_partition,8,partition_0,492806,366981.1,1.343
spark_partition,8,partition_1,159433,366981.1,0.434
spark_partition,8,partition_2,323682,366981.1,0.882
spark_partition,8,partition_3,343121,366981.1,0.935
spark_partition,8,partition_4,781190,366981.1,2.129
spark_partition,8,partition_5,159233,366981.1,0.434
spark_partition,8,partition_6,428285,366981.1,1.167
spark_partition,8,partition_7,248099,366981.1,0.676
